编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#图示地区主要的陆地自然带是	荒漠带!@#None!@#图示 地区 主要 的 陆地 自然带 是 荒漠带!@#图示 地区 主要 的 陆地 自然带 是 荒漠带!@#图示 地区 主要 的 陆地 自然带 是 荒漠带!@#图示 地区 主要 的 陆地 自然带 是 荒漠带!@#!@#VV NN VA DEC NN NN VC NN!@#!@#!@#0 1!@#7!@#!@#!@#!@#!@#!@#!@#!@#指示_0(,)!@#指示!@#0_6!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#2!@#
1-B!@#图示地区主要的陆地自然带是	热带草原带!@#None!@#图示 地区 主要 的 陆地 自然带 是 热带草原带!@#图示 地区 主要 的 陆地 自然带 是 热带草原带!@#图示 地区 主要 的 陆地 自然带 是 热带草原带!@#图示 地区 主要 的 陆地 自然带 是 热带草原带!@#!@#VV NN VA DEC NN NN VC NN!@#!@#!@#0 1!@#7!@#!@#!@#!@#!@#!@#!@#!@#指示_0(,)!@#指示!@#0_6!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#2!@#
1-C!@#图示地区主要的陆地自然带是	热带雨林带!@#None!@#图示 地区 主要 的 陆地 自然带 是 热带雨林带!@#图示 地区 主要 的 陆地 自然带 是 热带雨林带!@#图示 地区 主要 的 陆地 自然带 是 热带雨林带!@#图示 地区 主要 的 陆地 自然带 是 热带雨林带!@#!@#VV NN VA DEC NN NN VC NN!@#!@#!@#0 1!@#7!@#!@#!@#!@#!@#!@#!@#!@#指示_0(,)!@#指示!@#0_6!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#2!@#
1-D!@#图示地区主要的陆地自然带是	亚热带常绿阔叶林带!@#None!@#图示 地区 主要 的 陆地 自然带 是 亚热带常绿阔叶林带!@#图示 地区 主要 的 陆地 自然带 是 亚热带常绿阔叶林带!@#图示 地区 主要 的 陆地 自然带 是 亚热带常绿阔叶林带!@#图示 地区 主要 的 陆地 自然带 是 亚热带常绿阔叶林带!@#!@#VV NN VA DEC NN NN VC NN!@#!@#!@#0 1!@#7!@#!@#!@#!@#!@#!@#!@#!@#指示_0(,)!@#指示!@#0_6!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#2!@#
2-A!@#图示地区有世界重要的海上交通贸易通道。该通道便捷地连接了	北美东岸与西欧!@#None!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便捷 地 连接 了 北美 东岸 与 西欧!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便捷 地 连接 了 北美 东岸 与 西欧!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便 捷地 连接 了 北美 东岸 与 西欧!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便 捷地 连接 了 北美 东岸 与 西欧!@#!@#VV NN VE NN VA DEC NN NN NN NN PU DT NN VA DEV VV AS NR NN CC NR!@#!@#!@#0 1 17 20!@#!@#!@#!@#!@#!@#其他关联_0(,,)!@#其他关联!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
2-B!@#图示地区有世界重要的海上交通贸易通道。该通道便捷地连接了	东亚与南亚!@#None!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便捷 地 连接 了 东亚 与 南亚!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便捷 地 连接 了 东亚 与 南亚!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便 捷地 连接 了 东亚 与 南亚!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便 捷地 连接 了 东亚 与 南亚!@#!@#VV NN VE NN VA DEC NN NN NN NN PU DT NN VA DEV VV AS NR CC NR!@#!@#!@#0 1 17 19!@#!@#!@#!@#!@#!@#其他关联_0(,,)!@#其他关联!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
2-C!@#图示地区有世界重要的海上交通贸易通道。该通道便捷地连接了	北美东岸与西岸!@#None!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便捷 地 连接 了 北美 东岸 与 西岸!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便捷 地 连接 了 北美 东岸 与 西岸!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便 捷地 连接 了 北美 东岸 与 西岸!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便 捷地 连接 了 北美 东岸 与 西岸!@#!@#VV NN VE NN VA DEC NN NN NN NN PU DT NN VA DEV VV AS NR NN CC NN!@#!@#!@#0 1 17!@#!@#!@#!@#!@#!@#其他关联_0(,,)!@#其他关联!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
2-D!@#图示地区有世界重要的海上交通贸易通道。该通道便捷地连接了	西欧与南亚!@#None!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便捷 地 连接 了 西欧 与 南亚!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便捷 地 连接 了 西欧 与 南亚!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便 捷地 连接 了 西欧 与 南亚!@#图示 地区 有 世界 重要 的 海上 交通 贸易 通道 。 该 通道 便 捷地 连接 了 西欧 与 南亚!@#!@#VV NN VE NN VA DEC NN NN NN NN PU DT NN VA DEV VV AS NR CC NR!@#!@#!@#0 1 17 19!@#!@#!@#!@#!@#!@#其他关联_0(,,)!@#其他关联!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
3-A!@#据图推测，2003-2013年该市	退耕还林，林地面积持续增加!@#y!@#据 图 推测 ， 2003-2013年 该 市 退耕还林 ， 林地 面积 持续 增加!@#据 图 推测 ， 2003 - 2013年 该 市 退耕还林 ， 林地 面积 持续 增加!@#据 图 推测 ， 2003-2013年 该 市 退耕还林 ， 林地 面积 持续 增加!@#据 图 推测 ， 2003 - 2013年 该 市 退耕还林 ， 林地 面积 持续 增加!@#!@#P NN VV PU NT DT NN VV PU NN NN VV VV!@#4!@#!@#5 6!@#7!@#!@#!@#!@#!@#其他关联_0(,)!@#其他关联!@#!@#因素关联_0(,)!@#因素关联!@#!@#7-12!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0-3!@#
3-A-0!@#据图推测，2003-2013年该市	退耕还林!@#ed-ori!@#据 图 推测 ， 2003-2013年 该 市 退耕还林!@#据 图 推测 ， 2003 - 2013年 该 市 退耕还林!@#据 图 推测 ， 2003-2013年 该 市 退耕还林!@#据 图 推测 ， 2003 - 2013年 该 市 退耕还林!@#!@#P NN VV PU NT DT NN VV!@#4!@#!@#5 6!@#7!@#!@#!@#!@#!@#其他关联_0(,)!@#其他关联!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0-3!@#
