编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#该景观	形成受海水侵蚀的影响!@#None!@#该 景观 形成 受 海水 侵蚀 的 影响!@#该 景观 形成 受 海水 侵蚀 的 影响!@#该 景观 形成 受 海水侵蚀 的 影响!@#该 景观 形成 受 海水侵蚀 的 影响!@#DT NN VV VV NN term DEG NN!@#DT NN VV VV NN NN DEG NN!@#!@#!@#!@#5!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 景观))) (VP (VV 形成) (NP (DNP (NP (CP (IP (VP (VV 受) (NP (NN 海水))))) (NP (NN 侵蚀))) (DEG 的)) (NP (NN 影响))))) )!@#!@#!@#!@#影响_0(海水侵蚀,该景观,#,形成)!@#影响!@#0_7!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
1-B!@#该景观	表现出石灰岩沉积特点!@#None!@#该 景观 表现 出 石灰岩 沉积 特点!@#该 景观 表现 出 石灰岩 沉积 特点!@#该 景观 表现 出 石灰岩 沉积 特点!@#该 景观 表现 出 石灰岩 沉积 特点!@#DT NN VV VV term term NN!@#DT NN VV VV NN NN NN!@#!@#!@#!@#4 5!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 景观))) (VP (VRD (VV 表现) (VV 出)) (NP (NP (NN 石灰岩) (NN 沉积)) (NP (NN 特点))))) )!@#!@#!@#!@#其他陈述_0该景观,表现出,石灰岩沉积特点)!@#其他陈述!@#!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
1-C!@#该景观	反映热带自然景观特征!@#None!@#该 景观 反映 热带 自然 景观 特征!@#该 景观 反映 热带 自然 景观 特征!@#该 景观 反映 热带 自然 景观 特征!@#该 景观 反映 热带 自然 景观 特征!@#DT NN VV term NN NN NN!@#DT NN VV NN NN NN NN!@#!@#!@#!@#3!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 景观))) (VP (VV 反映) (NP (NP (NN 热带)) (NP (NN 自然) (NN 景观)) (NP (NN 特征))))) )!@#!@#!@#!@#其他陈述_0(该景观,反映,热带自然景观特征)!@#其他陈述!@#!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
1-D!@#该景观	在冬季观赏的效果最佳!@#None!@#该 景观 在 冬季 观赏 的 效果 最 佳!@#该 景观 在 冬季 观赏 的 效果 最 佳!@#该 景观 在 冬季 观赏 的 效果 最 佳!@#该 景观 在 冬季 观赏 的 效果 最 佳!@#DT NN P time VV DEC NN AD VA!@#DT NN P NN VV DEC NN AD VA!@#3!@#3!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 景观))) (VP (PP (P 在) (NP (NT 冬季))) (VP (VV 观赏)))) (DEC 的)) (NP (NN 效果))) (VP (ADVP (AD 最)) (VP (VA 佳)))) )!@#!@#!@#!@#其他陈述_0(该景观在冬季观赏的效果最佳)!@#其他陈述!@#!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
2-A!@#该年发生地质地貌灾害次数最多的山地可能是	横断山和秦岭!@#None!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 横断山 和 秦岭!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 横断山 和 秦岭!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 横断山 和 秦岭!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 横断山 和 秦岭!@#DT M VV term term NN NN AD VA DEC NN VV VC loc CC loc!@#DT NN VV NN NN NN NN AD VA DEC NN AD VC NR CC NR!@#!@#!@#13 15!@#3 4!@#!@#!@#!@#( (IP (NP (DP (DT 该) (CLP (M 年))) (CP (IP (NP (CP (IP (VP (VV 发生) (NP (NN 地质) (NN 地貌))))) (NP (NN 灾害) (NN 次数))) (VP (ADVP (AD 最)) (VP (VA 多)))) (DEC 的)) (NP (NN 山地))) (VP (VV 可能) (VP (VC 是) (NP (NR 横断山) (CC 和) (NR 秦岭))))) )!@#!@#!@#!@#指示_0(该年发生地质地貌灾害次数最多的山地,横断山和秦岭)!@#指示!@#0_12!@#0-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@# null!@#名词短语+动词短语!@#12!@#11!@#
2-B!@#该年发生地质地貌灾害次数最多的山地可能是	太行山和雪峰山!@#None!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 太行山 和 雪峰山!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 太行山 和 雪峰山!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 太行山 和 雪峰山!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 太行山 和 雪峰山!@#DT M VV term term NN NN AD VA DEC NN VV VC loc CC loc!@#DT NN VV NN NN NN NN AD VA DEC NN AD VC NR CC NN!@#!@#!@#13 15!@#3 4!@#13!@#!@#!@#( (IP (NP (DP (DT 该) (CLP (M 年))) (CP (IP (NP (CP (IP (VP (VV 发生) (NP (NN 地质) (NN 地貌))))) (NP (NN 灾害) (NN 次数))) (VP (ADVP (AD 最)) (VP (VA 多)))) (DEC 的)) (NP (NN 山地))) (VP (VV 可能) (VP (VC 是) (NP (NR 太行山) (CC 和) (NR 雪峰山))))) )!@#!@#!@#!@#指示_0(该年发生地质地貌灾害次数最多的山地,太行山和雪峰山)!@#指示!@#0_12!@#0-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#11!@#
2-C!@#该年发生地质地貌灾害次数最多的山地可能是	大巴山和巫山!@#None!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 大巴山 和 巫山!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 大巴山 和 巫山!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 大巴山 和 巫山!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 大巴山 和 巫山!@#DT M VV term term NN NN AD VA DEC NN VV VC loc CC loc!@#DT NN VV NN NN NN NN AD VA DEC NN AD VC NR CC NR!@#!@#!@#13 15!@#3 4!@#!@#!@#!@#( (IP (NP (DP (DT 该) (CLP (M 年))) (CP (IP (NP (CP (IP (VP (VV 发生) (NP (NN 地质) (NN 地貌))))) (NP (NN 灾害) (NN 次数))) (VP (ADVP (AD 最)) (VP (VA 多)))) (DEC 的)) (NP (NN 山地))) (VP (VV 可能) (VP (VC 是) (NP (NR 大巴山) (CC 和) (NR 巫山))))) )!@#!@#!@#!@#指示_0(该年发生地质地貌灾害次数最多的山地,大巴山和巫山)!@#指示!@#0_12!@#0-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#11!@#
2-D!@#该年发生地质地貌灾害次数最多的山地可能是	祁连山和唐古拉山!@#None!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 祁连山 和 唐古拉山!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 祁连山 和 唐古拉山!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 祁连山 和 唐古拉山!@#该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 祁连山 和 唐古拉山!@#DT M VV term term NN NN AD VA DEC NN VV VC loc CC loc!@#DT NN VV NN NN NN NN AD VA DEC NN AD VC NR CC NR!@#!@#!@#13 15!@#3 4!@#!@#!@#!@#( (IP (NP (DP (DT 该) (CLP (M 年))) (CP (IP (NP (CP (IP (VP (VV 发生) (NP (NN 地质) (NN 地貌))))) (NP (NN 灾害) (NN 次数))) (VP (ADVP (AD 最)) (VP (VA 多)))) (DEC 的)) (NP (NN 山地))) (VP (VV 可能) (VP (VC 是) (NP (NR 祁连山) (CC 和) (NR 唐古拉山))))) )!@#!@#!@#!@#指示_0(该年发生地质地貌灾害次数最多的山地,祁连山和唐古拉山)!@#指示!@#0_12!@#0-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#11!@#
3-A!@#在图3所示的山区自然灾害链中，①②③④依次是	滑坡、泥石流、地震、崩塌!@#None!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 滑坡 、 泥石流 、 地震 、 崩塌!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 滑坡 、 泥石流 、 地震 、 崩塌!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 滑坡 、 泥石流 、 地震 、 崩塌!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 滑坡 、 泥石流 、 地震 、 崩塌!@#P NN VV DEC NN NN NN NN LC PU NN NN NN NN AD VC term PU term PU term PU term!@#P NN VV DEC NN NN NN NN LC PU NN NN NN NN AD VC NN PU NN PU NN PU NN!@#!@#!@#!@#16 18 20 22!@#!@#!@#!@#( (IP (PP (P 在) (LCP (NP (CP (IP (NP (NN 图3)) (VP (VV 所示))) (DEC 的)) (NP (NP (NN 山区)) (NP (NN 自然) (NN 灾害)) (NP (NN 链)))) (LC 中))) (PU ，) (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 滑坡) (PU 、) (NN 泥石流) (PU 、) (NN 地震) (PU 、) (NN 崩塌))))) )!@#!@#!@#!@#指示_0(①②③④,滑坡、泥石流、地震、崩塌)!@#指示!@#0_14-15!@#10-22!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0 8-9!@#1-7
3-B!@#在图3所示的山区自然灾害链中，①②③④依次是	泥石流、地震、崩塌、滑坡!@#None!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 泥石流 、 地震 、 崩塌 、 滑坡!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 泥石流 、 地震 、 崩塌 、 滑坡!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 泥石流 、 地震 、 崩塌 、 滑坡!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 泥石流 、 地震 、 崩塌 、 滑坡!@#P NN VV DEC NN NN NN NN LC PU NN NN NN NN AD VC term PU term PU term PU term!@#P NN VV DEC NN NN NN NN LC PU NN NN NN NN AD VC NN PU NN PU NN PU NN!@#!@#!@#!@#16 18 20 22!@#!@#!@#!@#( (IP (PP (P 在) (LCP (NP (CP (IP (NP (NN 图3)) (VP (VV 所示))) (DEC 的)) (NP (NP (NN 山区)) (NP (NN 自然) (NN 灾害)) (NP (NN 链)))) (LC 中))) (PU ，) (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 泥石流) (PU 、) (NN 地震) (PU 、) (NN 崩塌) (PU 、) (NN 滑坡))))) )!@#!@#!@#!@#指示_0(①②③④,泥石流、地震、崩塌、滑坡)!@#指示!@#0_14-15!@#10-22!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0 8-9!@#1-7
3-C!@#在图3所示的山区自然灾害链中，①②③④依次是	地震、崩塌、滑坡、泥石流!@#None!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 地震 、 崩塌 、 滑坡 、 泥石流!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 地震 、 崩塌 、 滑坡 、 泥石流!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 地震 、 崩塌 、 滑坡 、 泥石流!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 地震 、 崩塌 、 滑坡 、 泥石流!@#P NN VV DEC NN NN NN NN LC PU NN NN NN NN AD VC term PU term PU term PU term!@#P NN VV DEC NN NN NN NN LC PU NN NN NN NN AD VC NN PU NN PU NN PU NN!@#!@#!@#!@#16 18 20 22!@#!@#!@#!@#( (IP (PP (P 在) (LCP (NP (CP (IP (NP (NN 图3)) (VP (VV 所示))) (DEC 的)) (NP (NP (NN 山区)) (NP (NN 自然) (NN 灾害)) (NP (NN 链)))) (LC 中))) (PU ，) (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 地震) (PU 、) (NN 崩塌) (PU 、) (NN 滑坡) (PU 、) (NN 泥石流))))) )!@#!@#!@#!@#指示_0(①②③④,地震、崩塌、滑坡、泥石流)!@#指示!@#0_14-15!@#10-22!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0 8-9!@#1-7
