编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#图1中	帕斯位于Q地的西北方向!@#None!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#NN LC loc VV loc DEG NN NN!@#NN LC NR VV NN DEG NN NN!@#!@#!@#2 4!@#!@#4!@#!@#!@#( (IP (NP (LCP (NP (NN 图1)) (LC 中)) (NP (NR 帕斯))) (VP (VV 位于) (NP (DNP (NP (NR Q地)) (DEG 的)) (NP (NN 西北) (NN 方向))))) )!@#!@#!@#!@#其他陈述_0(帕斯,位于,Q地的西北方向)!@#其他陈述!@#!@#2-7!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#范围限定!@#!@#0-1!@#
1-B!@#图1中	P海底火山位于太平洋板块上!@#None!@#图1 中 P 海底 火山 位于 太平洋板块 上!@#图1 中 P 海底 火山 位于 太平洋 板块 上!@#图1 中 P 海底 火山 位于 太 平洋板块 上!@#图1 中 P 海底 火山 位于 太平洋板块 上!@#NN LC NN NN NN VV term LC!@#NN LC NN NN NN VV NN LC!@#!@#!@#!@#6!@#6!@#!@#!@#( (IP (NP (LCP (NP (NN 图1)) (LC 中)) (NP (NN P) (NN 海底) (NN 火山))) (VP (VV 位于) (LCP (NP (NN 太平洋板块)) (LC 上)))) )!@#!@#!@#!@#其他陈述_0(P海底火山,位于,太平洋板块上)!@#其他陈述!@#!@#2-7!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#
1-C!@#图1中	帕斯与北京同时进入雨季!@#None!@#图1 中 帕斯 与 北京 同时 进入 雨季!@#图1 中 帕斯 与 北京 同时 进入 雨季!@#图1 中 帕斯 与 北京 同时 进入 雨季!@#图1 中 帕斯 与 北京 同时 进入 雨季!@#NN LC loc CC loc AD VV term!@#NN LC NR CC NR AD VV NN!@#!@#!@#2 4!@#7!@#4!@#!@#!@#( (IP (LCP (NP (NN 图1)) (LC 中)) (NP (NR 帕斯) (CC 与) (NR 北京)) (VP (ADVP (AD 同时)) (VP (VV 进入) (NP (NN 雨季))))) )!@#!@#!@#!@#比较_0(帕斯与北京,进入雨季,同时)!@#比较!@#0_5!@#2-7!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#
1-D!@#图1中	P处污染物将向北、向西扩散!@#None!@#图1 中 P处 污染物 将 向 北 、 向 西 扩散!@#图1 中 P处 污染物 将 向北 、 向 西扩散!@#图1 中 P处 污染物 将 向北 、 向 西 扩散!@#图1 中 P处 污染物 将 向 北 、 向 西 扩散!@#NN LC loc NN AD P NN PU P NN VV!@#NN LC NN NN AD P NN PU P NN VV!@#!@#!@#2!@#!@#!@#!@#!@#( (IP (NP (LCP (NP (NN 图1)) (LC 中)) (NP (NP (NR P处)) (NP (NN 污染物)))) (VP (ADVP (AD 将)) (PP (P 向) (NP (NN 北))) (PU 、) (PP (P 向) (NP (NN 西))) (VP (VV 扩散)))) )!@#!@#!@#!@#变化_0(P处污染物,#,向北、向西扩散)!@#变化!@#0_4-5-6-8-9!@#2-10!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#
2-A!@#使陨石集中分布于图2所示地区的外力作用主要是	流水搬运作用!@#None!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力作用 主要 是 流水搬运作用!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力 作用 主要 是 流水 搬运 作用!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力作用 主要 是 流水搬运作用!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力作用 主要 是 流水搬运作用!@#VV NN VV VV P NN VV NN DEG term AD VC term!@#VV NN VV VV P NN VV NN DEG NN AD VC NN!@#!@#!@#!@#9 12!@#12!@#!@#!@#( (IP (VP (VP (VV 使) (NP (NN 陨石)) (IP (VP (VV 集中)))) (VP (VP (VV 分布) (PP (P 于) (NP (DNP (NP (IP (NP (NN 图2)) (VP (VV 所示))) (NP (NN 地区))) (DEG 的)) (NP (NN 外力作用))))) (VP (ADVP (AD 主要)) (VP (VC 是) (NP (NN 流水搬运作用))))))) )!@#原因_0(陨石集中分布于图2所示地区的外力作用,流水搬运作用)!@#原因!@#0_0!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#null!@#动词短语!@#11!@#10!@#
2-B!@#使陨石集中分布于图2所示地区的外力作用主要是	冰川搬运作用!@#None!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力作用 主要 是 冰川搬运作用!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力 作用 主要 是 冰川 搬运 作用!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力作用 主要 是 冰川搬运作用!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力作用 主要 是 冰川搬运作用!@#VV NN VV VV P NN VV NN DEG term AD VC term!@#VV NN VV VV P NN VV NN DEG NN AD VC NN!@#!@#!@#!@#9 12!@#12!@#!@#!@#( (IP (VP (VP (VV 使) (NP (NN 陨石)) (IP (VP (VV 集中)))) (VP (VP (VV 分布) (PP (P 于) (NP (DNP (NP (IP (NP (NN 图2)) (VP (VV 所示))) (NP (NN 地区))) (DEG 的)) (NP (NN 外力作用))))) (VP (ADVP (AD 主要)) (VP (VC 是) (NP (NN 冰川搬运作用))))))) )!@#原因_0(陨石集中分布于图2所示地区的外力作用,流水搬运作用)!@#原因!@#0_0!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#10!@#
2-C!@#使陨石集中分布于图2所示地区的外力作用主要是	海浪侵蚀作用!@#None!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力作用 主要 是 海浪侵蚀作用!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力 作用 主要 是 海浪 侵蚀 作用!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力作用 主要 是 海浪侵蚀作用!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力作用 主要 是 海浪侵蚀作用!@#VV NN VV VV P NN VV NN DEG term AD VC term!@#VV NN VV VV P NN VV NN DEG NN AD VC NN!@#!@#!@#!@#9 12!@#12!@#!@#!@#( (IP (VP (VP (VV 使) (NP (NN 陨石)) (IP (VP (VV 集中)))) (VP (VP (VV 分布) (PP (P 于) (NP (DNP (NP (IP (NP (NN 图2)) (VP (VV 所示))) (NP (NN 地区))) (DEG 的)) (NP (NN 外力作用))))) (VP (ADVP (AD 主要)) (VP (VC 是) (NP (NN 海浪侵蚀作用))))))) )!@#原因_0(陨石集中分布于图2所示地区的外力作用,流水搬运作用)!@#原因!@#0_0!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#10!@#
2-D!@#使陨石集中分布于图2所示地区的外力作用主要是	重熔再生作用!@#None!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力作用 主要 是 重熔再生作用!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力 作用 主要 是 重熔 再生 作用!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力作用 主要 是 重熔再生作用!@#使 陨石 集中 分布 于 图2 所示 地区 的 外力作用 主要 是 重熔再生作用!@#VV NN VV VV P NN VV NN DEG term AD VC term!@#VV NN VV VV P NN VV NN DEG NN AD VC NN!@#!@#!@#!@#9 12!@#12!@#!@#!@#( (IP (VP (VP (VV 使) (NP (NN 陨石)) (IP (VP (VV 集中)))) (VP (VP (VV 分布) (PP (P 于) (NP (DNP (NP (IP (NP (NN 图2)) (VP (VV 所示))) (NP (NN 地区))) (DEG 的)) (NP (NN 外力作用))))) (VP (ADVP (AD 主要)) (VP (VC 是) (NP (NN 重熔再生作用))))))) )!@#原因_0(陨石集中分布于图2所示地区的外力作用,流水搬运作用)!@#原因!@#0_0!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#10!@#
3-①!@#图3为某地相关资料统计图，该地	位于南半球南温带地区!@#None!@#图3 为 某地 相关 资料 统计图 ， 该 地 位于 南半球 南温带 地区!@#图3 为 某地 相关 资料 统计图 ， 该 地 位于 南半球 南温带 地区!@#图3 为 某地 相关 资料 统计图 ， 该 地 位于 南半球 南温带 地区!@#图3 为 某地 相关 资料 统计图 ， 该 地 位于 南半球 南温带 地区!@#NN VC NN JJ NN NN PU DT NN VV term term NN!@#NN VC NN JJ NN NN PU DT NN VV NN NN NN!@#!@#!@#!@#10 11!@#10 11!@#!@#!@#( (IP (IP (NP (NN 图3)) (VP (VC 为) (NP (NP (NN 某地)) (ADJP (JJ 相关)) (NP (NN 资料) (NN 统计图))))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 位于) (NP (NP (NN 南半球) (NN 南温带)) (NP (NN 地区)))))) )!@#!@#!@#!@#其他陈述_0(该地,位于,南半球南温带地区)!@#其他陈述!@#!@#7-12!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#陈述句!@#名词短语(包括时间/地点短语)!@#!@#!@#0-6
3-②!@#图3为某地相关资料统计图，该地	位于北半球低纬度地区!@#None!@#图3 为 某地 相关 资料 统计图 ， 该 地 位于 北半球 低纬度 地区!@#图3 为 某地 相关 资料 统计图 ， 该 地 位于 北半球 低纬度 地区!@#图3 为 某地 相关 资料 统计图 ， 该 地 位于 北半球 低纬度 地区!@#图3 为 某地 相关 资料 统计图 ， 该 地 位于 北半球 低纬度 地区!@#NN VC NN JJ NN NN PU DT NN VV term term NN!@#NN VC NN JJ NN NN PU DT NN VV NN NN NN!@#!@#!@#!@#10 11!@#10 11!@#!@#!@#( (IP (IP (NP (NN 图3)) (VP (VC 为) (NP (NP (NN 某地)) (ADJP (JJ 相关)) (NP (NN 资料) (NN 统计图))))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 位于) (NP (NP (NN 北半球) (NN 低纬度)) (NP (NN 地区)))))) )!@#!@#!@#!@#其他陈述_0(该地,位于,北半球低纬度地区)!@#其他陈述!@#!@#7-12!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#0-6
3-③!@#图3为某地相关资料统计图，该地	受季风环流的影响显著!@#None!@#图3 为 某地 相关 资料 统计图 ， 该 地 受 季风环流 的 影响 显著!@#图3 为 某地 相关 资料 统计图 ， 该 地 受 季风 环流 的 影响 显著!@#图3 为 某地 相关 资料 统计图 ， 该 地 受 季风环流 的 影响 显著!@#图3 为 某地 相关 资料 统计图 ， 该 地 受 季风环流 的 影响 显著!@#NN VC NN JJ NN NN PU DT NN VV term DEG NN VA!@#NN VC NN JJ NN NN PU DT NN VV NN DEG NN VA!@#!@#!@#!@#10!@#!@#!@#!@#( (IP (IP (NP (NN 图3)) (VP (VC 为) (NP (NP (NN 某地)) (ADJP (JJ 相关)) (NP (NN 资料) (NN 统计图))))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 受) (IP (NP (DNP (NP (NN 季风环流)) (DEG 的)) (NP (NN 影响))) (VP (VA 显著)))))) )!@#!@#!@#!@#影响_0(季风环流,该地,#,显著)!@#影响!@#0_9-12!@#7-13!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#0-6
