编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#下列关于A、B两地大气状况的叙述，正确的是	气压：A地低于B地!@#None!@#下列 关于 A、B两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#JJ P loc NN NN DEG NN PU VA DEC VC term PU loc VV loc!@#JJ P NN NN NN DEG NN PU VA DEC VC NN NT NN VV NN!@#!@#!@#2 13 15!@#11!@#!@#!@#!@#( (IP (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (NR A、B两地) (NN 大气)) (NP (NN 状况)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN 气压)))) (PU ：) (NP (NR A地)) (VP (VV 低于) (NP (NR B地)))) )!@#!@#!@#!@#比较_0(A地,气压,B地,气压,低)!@#比较!@#0_14!@#11-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#自定义类别!@#自定义类别!@#!@#0-1 5-10!@#2-4
1-B!@#下列关于A、B两地大气状况的叙述，正确的是	气温：A地低于B地!@#None!@#下列 关于 A、B两地 大气 状况 的 叙述 ， 正确 的 是 气温 ： A地 低于 B地!@#下列 关于 A 、 B 两地 大气 状况 的 叙述 ， 正确 的 是 气温 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气温 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气温 ： A地 低于 B地!@#JJ P loc NN NN DEG NN PU VA DEC VC NN PU loc VV loc!@#JJ P NN NN NN DEG NN PU VA DEC VC NN NT NN VV NN!@#!@#!@#2 13 15!@#!@#!@#!@#!@#( (IP (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (NR A、B两地) (NN 大气)) (NP (NN 状况)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN 气温)))) (PU ：) (NP (NR A地)) (VP (VV 低于) (NP (NR B地)))) )!@#!@#!@#!@#比较_0(A地,气温,B地,气温,低)!@#比较!@#0_14!@#11-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1 5-10!@#2-4
1-C!@#下列关于A、B两地大气状况的叙述，正确的是	A地空气受热下沉!@#None!@#下列 关于 A、B两地 大气 状况 的 叙述 ， 正确 的 是 A地 空气 受热 下沉!@#下列 关于 A 、 B 两地 大气 状况 的 叙述 ， 正确 的 是 A地 空气 受热 下沉!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 A地 空气 受热 下沉!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 A地 空气 受热 下沉!@#JJ P loc NN NN DEG NN PU VA DEC VC loc NN VV VV!@#JJ P NN NN NN DEG NN PU VA DEC VC NN NN VV VV!@#!@#!@#2 11!@#!@#!@#!@#!@#( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (NR A、B两地) (NN 大气)) (NP (NN 状况)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR A地)) (NP (NN 空气)) (VP (VP (VV 受热)) (VP (VV 下沉)))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#!@#11-14!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1 5-10!@#2-4
1-D!@#下列关于A、B两地大气状况的叙述，正确的是	B地空气冷却下沉!@#None!@#下列 关于 A、B两地 大气 状况 的 叙述 ， 正确 的 是 B地 空气 冷却 下沉!@#下列 关于 A 、 B 两地 大气 状况 的 叙述 ， 正确 的 是 B地 空气 冷却 下沉!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 B地 空气 冷却 下沉!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 B地 空气 冷却 下沉!@#JJ P loc NN NN DEG NN PU VA DEC VC loc NN VV VV!@#JJ P NN NN NN DEG NN PU VA DEC VC NN NN VV VV!@#!@#!@#2 11!@#!@#!@#!@#!@#( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (NR A、B两地) (NN 大气)) (NP (NN 状况)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR B地)) (NP (NN 空气)) (VP (VP (VV 冷却)) (VP (VV 下沉)))))) )!@#!@#!@#!@#其他陈述_0(B地空气冷却下沉)!@#其他陈述!@#!@#11-14!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1 5-10!@#2-4
2-A!@#图中甲处有大面积绿地。绿地对空气的作用有	净化、增温!@#None!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增温!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增温!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增温!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增温!@#NN LC loc VE NN NN PU NN P NN DEG NN VE NN PU NN!@#NN LC NN VE NN NN PU NN P NN DEG NN VE NN PU NN!@#!@#!@#2!@#!@#!@#!@#!@#( (IP (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (NP (NR 甲处)) (VP (VE 有) (NP (NN 大面积) (NN 绿地))) (PU 。))) (NP (NN 绿地))) (VP (PP (P 对) (NP (DNP (NP (NN 空气)) (DEG 的)) (NP (NN 作用)))) (VP (VE 有) (NP (NN 净化) (PU 、) (NN 增温))))) )!@#影响_0(绿地,空气,#,净化、增温)!@#影响!@#0_10-11-12!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#null!@#名词短语+动词短语!@#12!@#!@#
2-B!@#图中甲处有大面积绿地。绿地对空气的作用有	净化、增湿!@#None!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增湿!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增湿!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增湿!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增湿!@#NN LC loc VE NN NN PU NN P NN DEG NN VE NN PU NN!@#NN LC NN VE NN NN PU NN P NN DEG NN VE NN PU NN!@#!@#!@#2!@#!@#!@#!@#!@#( (IP (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (NP (NR 甲处)) (VP (VE 有) (NP (NN 大面积) (NN 绿地))) (PU 。))) (NP (NN 绿地))) (VP (PP (P 对) (NP (DNP (NP (NN 空气)) (DEG 的)) (NP (NN 作用)))) (VP (VE 有) (NP (NN 净化) (PU 、) (NN 增湿))))) )!@#影响_0(绿地,空气,#,净化、增湿)!@#影响!@#0_10-11-12!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#
2-C!@#图中甲处有大面积绿地。绿地对空气的作用有	增温、增湿!@#None!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 增湿!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 增湿!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 增湿!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 增湿!@#NN LC loc VE NN NN PU NN P NN DEG NN VE NN PU NN!@#NN LC NN VE NN NN PU NN P NN DEG NN VE NN PU NN!@#!@#!@#2!@#!@#!@#!@#!@#( (IP (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (NP (NR 甲处)) (VP (VE 有) (NP (NN 大面积) (NN 绿地))) (PU 。))) (NP (NN 绿地))) (VP (PP (P 对) (NP (DNP (NP (NN 空气)) (DEG 的)) (NP (NN 作用)))) (VP (VE 有) (NP (NN 增温) (PU 、) (NN 增湿))))) )!@#影响_0(绿地,空气,#,增温、增湿)!@#影响!@#0_10-11-12!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#
2-D!@#图中甲处有大面积绿地。绿地对空气的作用有	增温、减湿!@#None!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 减湿!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 减湿!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 减湿!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 减湿!@#NN LC loc VE NN NN PU NN P NN DEG NN VE NN PU NN!@#NN LC NN VE NN NN PU NN P NN DEG NN VE NN PU NN!@#!@#!@#2!@#!@#!@#!@#!@#( (IP (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (NP (NR 甲处)) (VP (VE 有) (NP (NN 大面积) (NN 绿地))) (PU 。))) (NP (NN 绿地))) (VP (PP (P 对) (NP (DNP (NP (NN 空气)) (DEG 的)) (NP (NN 作用)))) (VP (VE 有) (NP (NN 增温) (PU 、) (NN 减湿))))) )!@#影响_0(绿地,空气,#,增温、减湿)!@#影响!@#0_10-11-12!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#
3-A!@#下列关于A、B两地大气状况的叙述，正确的是	气压：A地低于B地!@#None!@#下列 关于 A、B两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#JJ P loc NN NN DEG NN PU VA DEC VC term PU loc VV loc!@#JJ P NN NN NN DEG NN PU VA DEC VC NN NT NN VV NN!@#!@#!@#2 13 15!@#11!@#!@#!@#!@#( (IP (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (NR A、B两地) (NN 大气)) (NP (NN 状况)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN 气压)))) (PU ：) (NP (NR A地)) (VP (VV 低于) (NP (NR B地)))) )!@#!@#!@#!@#比较_0(A地,气压,B地,气压,低)!@#比较!@#0_14!@#11-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#自定义类别!@#自定义类别!@#!@#0-1 5-10!@#2-4
3-B!@#下列关于A、B两地大气状况的叙述，正确的是	气温：A地低于B地!@#None!@#下列 关于 A、B两地 大气 状况 的 叙述 ， 正确 的 是 气温 ： A地 低于 B地!@#下列 关于 A 、 B 两地 大气 状况 的 叙述 ， 正确 的 是 气温 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气温 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气温 ： A地 低于 B地!@#JJ P loc NN NN DEG NN PU VA DEC VC NN PU loc VV loc!@#JJ P NN NN NN DEG NN PU VA DEC VC NN NT NN VV NN!@#!@#!@#2 13 15!@#!@#!@#!@#!@#( (IP (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (NR A、B两地) (NN 大气)) (NP (NN 状况)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN 气温)))) (PU ：) (NP (NR A地)) (VP (VV 低于) (NP (NR B地)))) )!@#!@#!@#!@#比较_0(A地,气温,B地,气温,低)!@#比较!@#0_14!@#11-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1 5-10!@#2-4
3-C!@#下列关于A、B两地大气状况的叙述，正确的是	A地空气受热下沉!@#None!@#下列 关于 A、B两地 大气 状况 的 叙述 ， 正确 的 是 A地 空气 受热 下沉!@#下列 关于 A 、 B 两地 大气 状况 的 叙述 ， 正确 的 是 A地 空气 受热 下沉!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 A地 空气 受热 下沉!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 A地 空气 受热 下沉!@#JJ P loc NN NN DEG NN PU VA DEC VC loc NN VV VV!@#JJ P NN NN NN DEG NN PU VA DEC VC NN NN VV VV!@#!@#!@#2 11!@#!@#!@#!@#!@#( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (NR A、B两地) (NN 大气)) (NP (NN 状况)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR A地)) (NP (NN 空气)) (VP (VP (VV 受热)) (VP (VV 下沉)))))) )!@#!@#!@#!@#其他陈述_0(A地空气受热下沉)!@#其他陈述!@#!@#11-14!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1 5-10!@#2-4
