编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#关于1970—2000年间人口变化的相关叙述，正确的是	出生率基本保持不变，死亡率不断下降，自然增长率也不断下降!@#y!@#关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变 ， 死亡率 不断 下降 ， 自然 增长率 也 不断 下降!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变 ， 死亡率 不断 下降 ， 自然 增长率 也 不断 下降!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变 ， 死亡率 不断 下降 ， 自然 增长率 也 不断 下降!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变 ， 死亡率 不断 下降 ， 自然 增长率 也 不断 下降!@#P time LC NN NN DEG JJ NN PU VA DEC VC NN AD VV VA PU NN AD VV PU NN NN AD AD VV!@#P CD M NN NN DEG JJ NN PU VA DEC VC NN AD VV VA PU NN AD VV PU NN NN AD AD VV!@#1!@#1!@#!@#!@#!@#!@#!@#( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (IP (NP (NN 出生率)) (VP (ADVP (AD 基本)) (VP (VV 保持) (VP (VA 不变))))) (PU ，) (IP (NP (NN 死亡率)) (VP (ADVP (AD 不断)) (VP (VV 下降)))) (PU ，) (IP (NP (NN 自然) (NN 增长率)) (VP (ADVP (AD 也)) (ADVP (AD 不断)) (VP (VV 下降))))))) )!@#!@#!@#!@#变化_0(出生率,#,基本保持不变)变化_1(死亡率,#,不断下降)变化_2(自然增长率,#,不断下降)!@#变化!@#0_14-15 1_18-19 2_24-25!@#12-25!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#陈述句!@#名词短语+动词短语!@#11!@#0 5-11!@#1-4
1-A-0!@#关于1970—2000年间人口变化的相关叙述，正确的是	出生率基本保持不变!@#ed-ori!@#关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 出生率 基本 保持 不变!@#P NT LC NN NN DEG JJ NN PU VA DEC VC NN AD VV VA!@#P CD M NN NN DEG JJ NN PU VA DEC VC NN AD VV VA!@#1!@#1!@#!@#!@#!@#!@#!@#( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 出生率)) (VP (ADVP (AD 基本)) (VP (VV 保持) (VP (VA 不变))))))) )!@#!@#!@#!@#变化_0(出生率,#,基本保持不变)!@#变化!@#0_14-15!@#12-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0 5-11!@#1-4
1-A-1!@#关于1970—2000年间人口变化的相关叙述，正确的是	死亡率不断下降!@#ed-ori!@#关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 死亡率 不断 下降!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 死亡率 不断 下降!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 死亡率 不断 下降!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 死亡率 不断 下降!@#P time LC NN NN DEG JJ NN PU VA DEC VC NN AD VV!@#P CD M NN NN DEG JJ NN PU VA DEC VC NN AD VV!@#1!@#1!@#!@#!@#!@#!@#!@#( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 死亡率)) (VP (ADVP (AD 不断)) (VP (VV 下降)))))) )!@#!@#!@#!@#变化_0(死亡率,#,不断下降)!@#变化!@#0_13-14!@#12-14!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0 5-11!@#1-4
1-A-2!@#关于1970—2000年间人口变化的相关叙述，正确的是	自然增长率也不断下降!@#ed-ori!@#关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 自然 增长率 也 不断 下降!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 自然 增长率 也 不断 下降!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 自然 增长率 也 不断 下降!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 自然 增长率 也 不断 下降!@#P time LC NN NN DEG JJ NN PU VA DEC VC NN NN AD AD VV!@#P CD M NN NN DEG JJ NN PU VA DEC VC NN NN AD AD VV!@#1!@#1!@#!@#!@#!@#!@#!@#( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 自然) (NN 增长率)) (VP (ADVP (AD 也)) (ADVP (AD 不断)) (VP (VV 下降)))))) )!@#!@#!@#!@#变化_0(自然增长率,#,不断下降)!@#变化!@#0_15-16!@#12-16!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0 5-11!@#1-4
1-B!@#关于1970—2000年间人口变化的相关叙述，正确的是	人口增长模式完成了“高高低”特征向“三低”特征的过渡和转变!@#None!@#关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 人口 增长 模式 完成 了 “ 高 高 低 ” 特征 向 “ 三 低 ” 特征 的 过渡 和 转变!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 人口 增长 模式 完成 了 “ 高 高 低 ” 特征 向 “ 三 低 ” 特征 的 过渡 和 转变!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 人口 增长 模式 完成 了 “ 高 高 低 ” 特征 向 “ 三 低 ” 特征 的 过渡 和 转变!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 人口 增长 模式 完成 了 “ 高 高 低 ” 特征 向 “ 三 低 ” 特征 的 过渡 和 转变!@#P time LC NN NN DEG JJ NN PU VA DEC VC NN NN NN VV AS PU NN NN NN PU NN P PU CD NN PU NN DEG NN CC NN!@#P CD M NN NN DEG JJ NN PU VA DEC VC NN NN NN VV AS PU NN NN NN PU NN P PU CD NN PU NN DEG NN CC NN!@#1!@#1!@#!@#!@#!@#!@#!@#( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 人口) (NN 增长) (NN 模式)) (VP (VV 完成) (AS 了) (NP (NP (NP (PU “) (NN 高) (NN 高) (NN 低) (PU ”)) (NP (NN 特征))) (DNP (PP (P 向) (NP (NP (PU “) (QP (CD 三)) (NP (NN 低)) (PU ”)) (NP (NN 特征)))) (DEG 的)) (NP (NN 过渡) (CC 和) (NN 转变))))))) )!@#!@#!@#!@#变化_0(人口增长模式,#,“高高低”特征向“三低”特征)!@#变化!@#0_30-32!@#12-32!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0 5-11!@#1-4
1-C!@#关于1970—2000年间人口变化的相关叙述，正确的是	1975—1985年期间，我国人口数量先增后降!@#n!@#关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1975—1985年 期间 ， 我国 人口 数量 先 增 后 降!@#关于 1970— 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1975 — 1985年 期间 ， 我国 人口 数量 先 增 后 降!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1975 — 1985年 期间 ， 我国 人口 数量 先 增 后 降!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1975 — 1985年 期间 ， 我国 人口 数量 先 增 后 降!@#P time LC NN NN DEG JJ NN PU VA DEC VC time NN PU NR NN NN AD VV AD VV!@#P CD M NN NN DEG JJ NN PU VA DEC VC NN NN PU NR NN NN AD VV AD VV!@#1 12!@#1 12!@#!@#!@#!@#!@#!@#( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NT 1975—1985年) (NN 期间)) (PU ，) (NP (NP (NP (NR 我国)) (NP (NN 人口))) (NP (NN 数量))) (VP (VP (ADVP (AD 先)) (VP (VV 增))) (VP (ADVP (AD 后)) (VP (VV 降))))))) )!@#!@#!@#!@#变化_0(我国人口数量,#,先增后降) 时间限定_1(1975—1985年期间,0)!@#时间限定 变化!@#0_18-21!@#12-21!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0 5-11!@#1-4
1-D!@#关于1970—2000年间人口变化的相关叙述，正确的是	1985—2000年人口变化显示了我国在控制人口增长方面取得了较大成就!@#None!@#关于 1970—2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1985—2000年 人口 变化 显示 了 我国 在 控制 人口 增长 方面 取得 了 较大 成就!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1985 — 2000年 人口 变化 显示 了 我国 在 控制 人口 增长 方面 取得 了 较大 成就!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1985 — 2000年 人口 变化 显示 了 我国 在 控制 人口 增长 方面 取得 了 较大 成就!@#关于 1970 — 2000年 间 人口 变化 的 相关 叙述 ， 正确 的 是 1985 — 2000年 人口 变化 显示 了 我国 在 控制 人口 增长 方面 取得 了 较大 成就!@#P time LC NN NN DEG JJ NN PU VA DEC VC time NN NN VV AS NR P VV NN NN NN VV AS JJ NN!@#P CD M NN NN DEG JJ NN PU VA DEC VC CD NN NN VV AS NR P VV NN NN NN VV AS JJ NN!@#1 12!@#1 12!@#!@#!@#!@#!@#!@#( (IP (PP (P 关于) (NP (LCP (NP (NT 1970—2000年)) (LC 间)) (DNP (NP (NN 人口) (NN 变化)) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述)))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NT 1985—2000年)) (NP (NN 人口) (NN 变化)) (VP (VV 显示) (AS 了) (IP (NP (NR 我国)) (VP (PP (P 在) (NP (IP (VP (VV 控制) (NP (NN 人口) (NN 增长)))) (NP (NN 方面)))) (VP (VV 取得) (AS 了) (NP (ADJP (JJ 较大)) (NP (NN 成就)))))))))) )!@#!@#!@#!@#其他陈述_0(1985—2000年人口变化,显示了,我国在控制人口增长方面取得了较大成就)!@#其他陈述!@#!@#12-26!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0 5-11!@#1-4
2-A!@#根据2000—2010年间人口变化特点，判断下列叙述正确的是	人口数量的增长与环境、资源相适应!@#None!@#根据 2000—2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 人口 数量 的 增长 与 环境 、 资源 相 适应!@#根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 人口 数量 的 增长 与 环境 、 资源 相 适应!@#根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 人口 数量 的 增长 与 环境 、 资源 相 适应!@#根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 人口 数量 的 增长 与 环境 、 资源 相 适应!@#P time LC NN NN NN PU VV JJ NN VA DEC VC NN NN DEG NN P NN PU NN AD VV!@#P CD M NN NN NN PU VV JJ NN VA DEC VC NN NN DEG NN P NN PU NN AD VV!@#1!@#1!@#!@#!@#!@#!@#!@#( (IP (PP (P 根据) (NP (NP (LCP (NP (NT 2000—2010年)) (LC 间)) (NP (NN 人口) (NN 变化))) (NP (NN 特点)))) (PU ，) (IP (VP (VV 判断) (NP (ADJP (JJ 下列)) (NP (NN 叙述))))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (DNP (NP (NN 人口) (NN 数量)) (DEG 的)) (NP (NN 增长))) (VP (PP (P 与) (NP (NN 环境) (PU 、) (NN 资源))) (ADVP (AD 相)) (VP (VV 适应)))))) )!@#!@#!@#!@#其他陈述_0(人口数量的增长,适应,环境、资源)!@#其他陈述!@#!@#13-22!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#陈述句!@#自定义类别!@#!@#0 6-12!@#1-5
2-B!@#根据2000—2010年间人口变化特点，判断下列叙述正确的是	仍面临着人口增长速度过快带来的问题!@#None!@#根据 2000—2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 仍 面临 着 人口 增长 速度 过 快 带来 的 问题!@#根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 仍 面临 着 人口 增长 速度 过 快 带来 的 问题!@#根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 仍 面临 着 人口 增长 速度 过 快 带来 的 问题!@#根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 仍 面临 着 人口 增长 速度 过 快 带来 的 问题!@#P time LC NN NN NN PU VV JJ NN VA DEC VC AD VV AS NN NN NN AD VA VV DEC NN!@#P CD M NN NN NN PU VV JJ NN VA DEC VC AD VV AS NN NN NN AD VA VV DEC NN!@#1!@#1!@#!@#!@#!@#!@#!@#( (IP (PP (P 根据) (NP (NP (LCP (NP (NT 2000—2010年)) (LC 间)) (NP (NN 人口) (NN 变化))) (NP (NN 特点)))) (PU ，) (IP (VP (VV 判断) (NP (ADJP (JJ 下列)) (NP (NN 叙述))))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (VP (ADVP (AD 仍)) (VP (VV 面临) (AS 着) (NP (CP (IP (IP (NP (NN 人口) (NN 增长) (NN 速度)) (VP (ADVP (AD 过)) (VP (VA 快)))) (VP (VV 带来))) (DEC 的)) (NP (NN 问题)))))))) )!@#!@#!@#!@#其他陈述_0(人口增长速度过快)!@#其他陈述!@#!@#13-23!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#0 6-12!@#1-5
2-C!@#根据2000—2010年间人口变化特点，判断下列叙述正确的是	应建立科学合理的养老制度和社会福利制度!@#None!@#根据 2000—2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 应 建立 科学 合理 的 养老 制度 和 社会 福利 制度!@#根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 应 建立 科学 合理 的 养老 制度 和 社会 福利 制度!@#根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 应 建立 科学 合理 的 养老 制度 和 社会 福利 制度!@#根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 应 建立 科学 合理 的 养老 制度 和 社会 福利 制度!@#P time LC NN NN NN PU VV JJ NN VA DEC VC VV VV VA VA DEC NN NN CC NN NN NN!@#P CD M NN NN NN PU VV JJ NN VA DEC VC VV VV VA VA DEC NN NN CC NN NN NN!@#1!@#1!@#!@#!@#!@#!@#!@#( (IP (PP (P 根据) (NP (NP (LCP (NP (NT 2000—2010年)) (LC 间)) (NP (NN 人口) (NN 变化))) (NP (NN 特点)))) (PU ，) (IP (VP (VV 判断) (NP (ADJP (JJ 下列)) (NP (NN 叙述))))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (VP (VV 应) (VP (VV 建立) (NP (CP (IP (VP (VCD (VA 科学) (VA 合理)))) (DEC 的)) (NP (NN 养老) (NN 制度) (CC 和) (NN 社会) (NN 福利) (NN 制度))))))) )!@#!@#!@#!@#其他陈述_0(#,建立,科学合理的养老制度和社会福利制度)!@#其他陈述!@#!@#13-23!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#0 6-12!@#1-5
2-D!@#根据2000—2010年间人口变化特点，判断下列叙述正确的是	人口变化特点与人口迁移密切相关!@#None!@#根据 2000—2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 人口 变化 特点 与 人口 迁移 密切 相关!@#根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 人口 变化 特点 与 人口 迁移 密切 相关!@#根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 人口 变化 特点 与 人口 迁移 密切 相关!@#根据 2000 — 2010年 间 人口 变化 特点 ， 判断 下列 叙述 正确 的 是 人口 变化 特点 与 人口 迁移 密切 相关!@#P time LC NN NN NN PU VV JJ NN VA DEC VC NN NN NN CC NN VV AD VA!@#P CD M NN NN NN PU VV JJ NN VA DEC VC NN NN NN CC NN VV AD VA!@#1!@#1!@#!@#!@#!@#!@#!@#( (IP (PP (P 根据) (NP (NP (LCP (NP (NT 2000—2010年)) (LC 间)) (NP (NN 人口) (NN 变化))) (NP (NN 特点)))) (PU ，) (IP (VP (VV 判断) (NP (ADJP (JJ 下列)) (NP (NN 叙述))))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NP (NN 人口) (NN 变化)) (NP (NN 特点) (CC 与) (NN 人口))) (VP (VP (VV 迁移)) (VP (ADVP (AD 密切)) (VP (VA 相关))))))) )!@#!@#!@#!@#因素关联_0(人口变化特点,人口迁移)!@#因素关联!@#0_19-20!@#13-20!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0 6-12!@#0 6-12
